"","cam2","cam9","cam13","cam18","cam21","cam25","cam27","cam5","cam31","cam32","cam33","cam34","cam36","cam37","cam6","cam15","cam28","cam29","cam30","cam35","cam38","cam11","cam17","cam19","cam20","cam22","cam24","cam26","cam3","cam7","cam8","cam10","cam14","cam16","cam23"
"cam38",0.555555555555556,0.735135135135135,0.682875264270613,0.453804347826087,0.529025191675794,0.617723718505647,0.459811730629978,0.736749116607774,0.747706422018349,0.778487752928647,0.446756425948592,0.535714285714286,0.604612850082372,0.442691903259727,0.510928961748634,0.637043966323667,0.701812191103789,0.788786064235166,0.747041420118343,0.931034482758621,0,0.685185185185185,0.94106090373281,0.835526315789474,0.845911949685535,0.774968394437421,0.883424408014572,0.703170028818444,0.925327951564077,0.933714285714286,0.74869109947644,0.612137203166227,0.888288288288288,0.849397590361446,0.750809061488673
"cam11",0.541484716157205,0.740566037735849,0.878513145965549,0.666666666666667,0.73534338358459,0.858682634730539,0.80093896713615,0.958333333333333,0.949596774193548,0.930857874519846,0.796407185628742,0.827586206896552,0.601374570446735,0.75748031496063,0.874564459930314,0.843293492695883,0.870824053452116,0.904010519395135,0.942084942084942,0.890795631825273,0.685185185185185,0,0.772020725388601,0.445205479452055,0.475,0.642105263157895,0.510729613733906,0.55026455026455,0.934814814814815,0.899821109123435,0.75875486381323,0.900452488687783,0.97489539748954,0.793103448275862,0.941304347826087
"cam17",0.949843260188088,0.957894736842105,0.987551867219917,0.95729537366548,0.973799126637555,0.977011494252874,0.987041036717063,0.982274741506647,0.985932004689332,0.987350667603654,0.966850828729282,0.977324263038549,0.802631578947368,0.975806451612903,0.990089197224975,0.941368078175896,0.965744400527009,0.984081041968162,0.979933110367893,0.99601593625498,0.94106090373281,0.772020725388601,0,0.647058823529412,0.712707182320442,0.857142857142857,0.553191489361702,0.782426778242678,0.98134328358209,1,0.898305084745763,0.966996699669967,0.96,0.933014354066986,0.984635083226633
"cam19",0.822966507177033,0.770833333333333,0.917215428033866,0.91578947368421,0.842010771992819,0.90440251572327,0.914146341463415,0.920103092783505,0.957983193277311,0.965834428383706,0.856832971800434,0.92962962962963,0.633466135458167,0.88235294117647,0.927797833935018,0.901823281907433,0.902097902097902,0.935178933153275,0.937751004016064,0.926788685524126,0.835526315789474,0.445205479452055,0.647058823529412,0,0.157142857142857,0.59080459770115,0.595854922279793,0.27810650887574,0.886614173228346,0.888246628131021,0.612903225806452,0.835820895522388,0.839195979899497,0.785714285714286,0.909090909090909
"cam20",0.753363228699552,0.733009708737864,0.893675527039413,0.906862745098039,0.801709401709402,0.8955042527339,0.897435897435897,0.937810945273632,0.96530612244898,0.967741935483871,0.869120654396728,0.922535211267606,0.670250896057348,0.87800963081862,0.897887323943662,0.910931174089069,0.871331828442438,0.92312789927104,0.93359375,0.875993640699523,0.845911949685535,0.475,0.712707182320442,0.157142857142857,0,0.568034557235421,0.592760180995475,0.185792349726776,0.846153846153846,0.835466179159049,0.591836734693878,0.786046511627907,0.894273127753304,0.672619047619048,0.903083700440529
"cam22",0.647254575707155,0.502645502645503,0.648475120385233,0.900532859680284,0.689189189189189,0.865030674846626,0.817880794701987,0.822732012513034,0.918942731277533,0.908504398826979,0.804347826086957,0.811894882434302,0.80184331797235,0.838046272493573,0.756777691711851,0.910714285714286,0.671469740634006,0.733173076923077,0.860899067005937,0.612244897959184,0.774968394437421,0.642105263157895,0.857142857142857,0.59080459770115,0.568034557235421,0,0.734042553191489,0.493282149712092,0.606356968215159,0.547008547008547,0.75,0.863247863247863,0.801047120418848,0.527494908350306,0.922859830667921
"cam24",0.860724233983287,0.92,0.962151394422311,0.856697819314642,0.907630522088353,0.932065217391304,0.952380952380952,0.9860529986053,0.975363941769317,0.969924812030075,0.885572139303483,0.925155925155925,0.770833333333333,0.914179104477612,0.956148713060057,0.91743119266055,0.949937421777222,0.978902953586498,0.959445037353255,0.955719557195572,0.883424408014572,0.510729613733906,0.553191489361702,0.595854922279793,0.592760180995475,0.734042553191489,0,0.6415770609319,1,0.960869565217391,0.911392405063291,1,1,0.911646586345382,0.97320341047503
"cam26",0.706349206349206,0.676595744680851,0.798085291557876,0.759656652360515,0.692068429237947,0.81838819523269,0.792979297929793,0.819025522041763,0.86897880539499,0.901741293532338,0.670932358318099,0.76038338658147,0.566765578635015,0.779735682819383,0.804020100502513,0.824780976220275,0.826271186440678,0.863433312061264,0.835489833641405,0.898107714701601,0.703170028818444,0.55026455026455,0.782426778242678,0.27810650887574,0.185792349726776,0.493282149712092,0.6415770609319,0,0.86130374479889,0.861157024793388,0.557755775577558,0.692622950819672,0.747368421052632,0.705583756345178,0.842650103519669
"cam3",0.800249687890137,0.767926988265971,0.307053941908714,0.963302752293578,0.859574468085106,0.942275042444822,0.931818181818182,0.958584987057808,0.976029962546817,0.982152230971129,0.933649289099526,0.952329360780065,0.89589905362776,0.930470347648262,0.895372233400402,0.967153284671533,0.482675261885576,0.734978540772532,0.962291515591008,0.0894308943089431,0.925327951564077,0.934814814814815,0.98134328358209,0.886614173228346,0.846153846153846,0.606356968215159,1,0.86130374479889,0,0.407982261640798,0.843333333333333,0.872611464968153,0.941580756013746,0.66425470332851,0.920823436262866
"cam7",0.722627737226277,0.741935483870968,0.6,0.972179289026275,0.856796116504854,0.945386064030132,0.93343653250774,0.963566634707574,0.981952420016407,0.987702627166015,0.934065934065934,0.960346964064436,0.891891891891892,0.939675174013921,0.893818181818182,0.975510204081633,0.537777777777778,0.723112128146453,0.969912905779889,0.368663594470046,0.933714285714286,0.899821109123435,1,0.888246628131021,0.835466179159049,0.547008547008547,0.960869565217391,0.861157024793388,0.407982261640798,0,0.834710743801653,0.802690582959641,0.832618025751073,0.603478260869565,0.768090671316478
"cam8",0.671018276762402,0.667621776504298,0.852140077821012,0.785507246376812,0.716475095785441,0.852631578947368,0.854545454545454,0.875843454790823,0.914940021810251,0.932750504371217,0.671361502347418,0.798019801980198,0.509259259259259,0.778571428571429,0.869524697110904,0.843657817109145,0.842041312272175,0.905947441217151,0.889698231009365,0.886925795053004,0.74869109947644,0.75875486381323,0.898305084745763,0.612903225806452,0.591836734693878,0.75,0.911392405063291,0.557755775577558,0.843333333333333,0.834710743801653,0,0.700272479564033,0.780487804878049,0.523809523809524,0.822485207100592
"cam10",0.654929577464789,0.805243445692884,0.859851607584501,0.452830188679245,0.827439886845827,0.828571428571429,0.80936170212766,0.60475161987041,0.682395644283122,0.79066985645933,0.374795417348609,0.43768115942029,0.576059850374065,0.438926174496644,0.643879173290938,0.585168018539977,0.587301587301587,0.744941753525445,0.680628272251309,0.864181091877497,0.612137203166227,0.900452488687783,0.966996699669967,0.835820895522388,0.786046511627907,0.863247863247863,1,0.692622950819672,0.872611464968153,0.802690582959641,0.700272479564033,0,0.742120343839542,0.786026200873362,0.63495145631068
"cam14",0.808219178082192,0.758308157099698,0.926732673267327,0.951070336391437,0.857142857142857,0.973045822102426,0.917695473251029,0.894882434301521,0.922135706340378,0.952348536419333,0.82843137254902,0.835728952772074,0.888888888888889,0.955719557195572,0.924170616113744,0.936363636363636,0.977639751552795,0.946778711484594,0.919406150583245,0.923357664233577,0.888288288288288,0.97489539748954,0.96,0.839195979899497,0.894273127753304,0.801047120418848,1,0.747368421052632,0.941580756013746,0.832618025751073,0.780487804878049,0.742120343839542,0,0.945098039215686,0.954050785973398
"cam16",0.607594936708861,0.595454545454545,0.762287756925827,0.862385321100917,0.755301794453507,0.882491186839013,0.894542090656799,0.9375,0.962301587301587,0.964512040557668,0.810444874274661,0.889261744966443,0.713355048859935,0.846390168970814,0.850515463917526,0.919375812743823,0.722100656455142,0.837345478204294,0.925855513307985,0.671232876712329,0.849397590361446,0.793103448275862,0.933014354066986,0.785714285714286,0.672619047619048,0.527494908350306,0.911646586345382,0.705583756345178,0.66425470332851,0.603478260869565,0.523809523809524,0.786026200873362,0.945098039215686,0,0.873931623931624
"cam23",0.889101338432122,0.899209486166008,0.900650502661147,0.73015873015873,0.890295358649789,0.901616303583977,0.877797943133696,0.743589743589744,0.777215189873418,0.83906976744186,0.647382920110193,0.690068493150685,0.820250284414107,0.676206050695012,0.773041474654378,0.736017897091723,0.746971736204576,0.809388335704125,0.773399014778325,0.946297803091945,0.750809061488673,0.941304347826087,0.984635083226633,0.909090909090909,0.903083700440529,0.922859830667921,0.97320341047503,0.842650103519669,0.920823436262866,0.768090671316478,0.822485207100592,0.63495145631068,0.954050785973398,0.873931623931624,0
