,filename,modified,created,filetime,week,camera
47,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder2/RCNX0053.JPG,Fri Jul  1 18:53:02 2022,Thu Oct 20 18:46:51 2022,01-07-2022-18:53,26,cam14
48,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder3/RCNX0077.JPG,Sat Jul  9 13:00:00 2022,Thu Oct 20 18:49:38 2022,09-07-2022-13:00,27,cam14
49,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder3/RCNX0089.JPG,Wed Jul 13 13:00:00 2022,Thu Oct 20 17:58:22 2022,13-07-2022-13:00,28,cam14
50,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder3/RCNX0100.JPG,Sun Jul 17 10:00:00 2022,Thu Oct 20 17:58:36 2022,17-07-2022-10:00,29,cam14
51,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder3/RCNX0121.JPG,Sun Jul 24 10:00:00 2022,Thu Oct 20 18:49:52 2022,24-07-2022-10:00,30,cam14
52,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0010.JPG,Sat Aug  6 13:00:00 2022,Thu Oct 20 18:47:54 2022,06-08-2022-13:00,31,cam14
53,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0021.JPG,Wed Aug 10 10:00:00 2022,Thu Oct 20 18:47:55 2022,10-08-2022-10:00,32,cam14
54,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0032.JPG,Sun Aug 14 07:00:00 2022,Thu Oct 20 17:56:45 2022,14-08-2022-07:00,33,cam14
55,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0068.JPG,Fri Aug 26 07:00:00 2022,Thu Oct 20 18:48:11 2022,26-08-2022-07:00,34,cam14
56,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0079.JPG,Mon Aug 29 13:00:00 2022,Thu Oct 20 18:48:17 2022,29-08-2022-13:00,35,cam14
57,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0106.JPG,Wed Sep  7 13:00:00 2022,Thu Oct 20 18:48:27 2022,07-09-2022-13:00,36,cam14
58,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0118.JPG,Sun Sep 11 13:00:00 2022,Thu Oct 20 18:48:35 2022,11-09-2022-13:00,37,cam14
59,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0151.JPG,Thu Sep 22 13:00:00 2022,Thu Oct 20 17:57:29 2022,22-09-2022-13:00,38,cam14
60,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0169.JPG,Wed Sep 28 13:00:00 2022,Thu Oct 20 18:48:57 2022,28-09-2022-13:00,39,cam14
61,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder4/RCNX0180.JPG,Sun Oct  2 10:00:00 2022,Thu Oct 20 18:49:02 2022,02-10-2022-10:00,40,cam14
62,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder1/RCNX0032.JPG,Sat May 14 19:00:00 2022,Fri Oct 21 07:51:14 2022,14-05-2022-19:00,19,cam32
63,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder2/RCNX0019.JPG,Sat May 21 00:00:00 2022,Fri Oct 21 07:52:39 2022,21-05-2022-00:00,20,cam32
64,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder2/RCNX0076.JPG,Sun May 29 01:00:00 2022,Fri Oct 21 07:52:11 2022,29-05-2022-01:00,22,cam32
65,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0014.JPG,Thu Jun 16 11:00:00 2022,Fri Oct 21 07:48:58 2022,16-06-2022-11:00,24,cam32
66,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0057.JPG,Wed Jun 22 12:00:00 2022,Fri Oct 21 07:50:19 2022,22-06-2022-12:00,25,cam32
67,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder2/RCNX0011.JPG,Fri Jul  1 18:55:46 2022,Fri Oct 21 07:52:43 2022,01-07-2022-18:55,26,cam32
68,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0159.JPG,Thu Jul  7 09:00:00 2022,Fri Oct 21 07:48:52 2022,07-07-2022-09:00,27,cam32
69,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0193.JPG,Tue Jul 12 08:00:00 2022,Fri Oct 21 07:50:46 2022,12-07-2022-08:00,28,cam32
70,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0265.JPG,Fri Jul 22 10:00:00 2022,Fri Oct 21 07:49:25 2022,22-07-2022-10:00,29,cam32
71,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0313.JPG,Fri Jul 29 09:00:00 2022,Fri Oct 21 07:49:08 2022,29-07-2022-09:00,30,cam32
72,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder3/RCNX0326.JPG,Sun Jul 31 08:00:00 2022,Fri Oct 21 07:49:51 2022,31-07-2022-08:00,31,cam32
73,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0054.JPG,Thu Aug 11 08:00:00 2022,Fri Oct 21 07:40:07 2022,11-08-2022-08:00,32,cam32
74,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0078.JPG,Sun Aug 14 11:00:00 2022,Fri Oct 21 07:40:20 2022,14-08-2022-11:00,33,cam32
75,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0150.JPG,Wed Aug 24 13:00:00 2022,Fri Oct 21 07:40:47 2022,24-08-2022-13:00,34,cam32
76,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0194.JPG,Wed Aug 31 08:00:00 2022,Fri Oct 21 07:46:44 2022,31-08-2022-08:00,35,cam32
77,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0225.JPG,Sun Sep  4 11:00:00 2022,Fri Oct 21 07:47:00 2022,04-09-2022-11:00,36,cam32
78,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0291.JPG,Wed Sep 14 07:00:00 2022,Fri Oct 21 07:47:32 2022,14-09-2022-07:00,37,cam32
79,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0361.JPG,Sat Sep 24 07:00:00 2022,Fri Oct 21 07:48:04 2022,24-09-2022-07:00,38,cam32
80,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0407.JPG,Fri Sep 30 11:00:00 2022,Fri Oct 21 07:48:23 2022,30-09-2022-11:00,39,cam32
81,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam32/cam32_folder4/RCNX0426.JPG,Mon Oct  3 09:00:00 2022,Fri Oct 21 07:48:32 2022,03-10-2022-09:00,40,cam32
82,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder2/RCNX0001.JPG,Wed May 18 22:00:00 2022,Fri Oct 21 07:11:48 2022,18-05-2022-22:00,20,cam26
83,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder2/RCNX0027.JPG,Fri May 27 04:00:00 2022,Fri Oct 21 07:11:19 2022,27-05-2022-04:00,21,cam26
84,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder2/RCNX0040.JPG,Tue May 31 22:00:00 2022,Fri Oct 21 07:11:12 2022,31-05-2022-22:00,22,cam26
85,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder2/RCNX0062.JPG,Wed Jun  8 01:00:00 2022,Fri Oct 21 07:10:45 2022,08-06-2022-01:00,23,cam26
86,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder2/RCNX0077.JPG,Mon Jun 13 01:00:00 2022,Fri Oct 21 07:10:36 2022,13-06-2022-01:00,24,cam26
87,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder3/RCNX0027.JPG,Thu Jun 23 07:00:00 2022,Fri Oct 21 07:12:51 2022,23-06-2022-07:00,25,cam26
88,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder1/RCNX0002.JPG,Fri Jul  1 18:47:08 2022,Fri Oct 21 07:02:30 2022,01-07-2022-18:47,26,cam26
89,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder3/RCNX0062.JPG,Mon Jul  4 13:00:00 2022,Fri Oct 21 07:13:17 2022,04-07-2022-13:00,27,cam26
90,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder3/RCNX0096.JPG,Sat Jul 16 07:00:00 2022,Fri Oct 21 07:13:39 2022,16-07-2022-07:00,28,cam26
91,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder3/RCNX0103 (1).JPG,Mon Jul 18 10:00:00 2022,Fri Oct 21 07:13:41 2022,18-07-2022-10:00,29,cam26
92,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder3/RCNX0131.JPG,Wed Jul 27 13:00:00 2022,Fri Oct 21 07:14:24 2022,27-07-2022-13:00,30,cam26
93,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder3/RCNX0148.JPG,Tue Aug  2 10:00:00 2022,Fri Oct 21 07:14:39 2022,02-08-2022-10:00,31,cam26
94,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0011.JPG,Sun Aug  7 07:00:00 2022,Fri Oct 21 07:03:21 2022,07-08-2022-07:00,32,cam26
95,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0047.JPG,Fri Aug 19 07:00:00 2022,Fri Oct 21 07:03:51 2022,19-08-2022-07:00,33,cam26
96,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0060.JPG,Tue Aug 23 10:00:00 2022,Fri Oct 21 07:09:07 2022,23-08-2022-10:00,34,cam26
97,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0081.JPG,Tue Aug 30 10:00:00 2022,Fri Oct 21 07:09:25 2022,30-08-2022-10:00,35,cam26
98,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0105.JPG,Wed Sep  7 10:00:00 2022,Fri Oct 21 07:09:43 2022,07-09-2022-10:00,36,cam26
99,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0128.JPG,Thu Sep 15 07:00:00 2022,Fri Oct 21 07:10:05 2022,15-09-2022-07:00,37,cam26
100,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0154.JPG,Fri Sep 23 13:00:00 2022,Fri Oct 21 07:10:14 2022,23-09-2022-13:00,38,cam26
101,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0172.JPG,Thu Sep 29 13:00:00 2022,Fri Oct 21 06:54:48 2022,29-09-2022-13:00,39,cam26
